"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","2792","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","2954","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","2687","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","4190","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","2826","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","3580","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"","9550","Успешное оформление заказа через нижнюю кнопку","Tests","2025-10-04","passed","2025-10-04","TestOrder","test_order","",""
"","5583","Успешное оформление заказа через верхнюю кнопку","Tests","2025-10-04","passed","2025-10-04","TestOrder","test_order","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","2944","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"","5999","Успешное оформление заказа через нижнюю кнопку","Tests","2025-10-04","passed","2025-10-04","TestOrder","test_order","",""
"Проверка перехода на главную страницу после нажатия на логотип ""Самокат""","3285","Проверка нажатия на логотип ""Самокат""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка открытия страницы Яндекс.Дзен в новой вкладке","3616","Проверка нажатия на логотип ""Яндекс""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
"Проверка появления соответствующего текста ответа при нажатии на каждый вопрос","3391","Проверка раздела ""Вопросы о важном""","Tests","2025-10-04","passed","2025-10-04","TestHomePageSamokat","test_faq","",""
